Region,Children in poverty,Access to exercise opportunities,Adult obesity,Alcohol-impaired driving deaths,Excessive drinking
West,0.173,0.995,0.207,0.311,0.194
West,0.154,0.997,0.205,0.343,0.194
West,0.185,0.667,0.23,0.244,0.178
West,0.221,0.69,0.248,0.209,0.178
West,0.271,0.787,0.243,0.35,0.204
West,0.25,0.84,0.244,0.348,0.204
West,0.209,0.502,0.258,0.346,0.239
West,0.218,0.628,0.243,0.306,0.239
West,0.202,0.641,0.226,0.217,
West,0.2,0.733,0.223,0.205,
West,0.145,0.927,0.237,0.324,0.184
West,0.134,0.958,0.224,0.305,0.184
West,0.324,0.852,0.255,0.237,
West,0.326,0.78,0.255,0.227,
West,0.122,0.768,0.203,0.381,0.209
West,0.138,0.94,0.21,0.443,0.209
West,0.401,0.71,0.294,0.326,0.175
West,0.42,0.772,0.285,0.3,0.175
West,0.263,0.544,0.268,0.212,0.17
West,0.285,0.667,0.259,0.069,0.17
West,0.272,0.78,0.265,0.371,0.22
West,0.256,0.865,0.257,0.331,0.22
West,0.33,0.641,0.235,0.181,0.158
West,0.309,0.705,0.221,0.204,0.158
West,0.192,0.436,0.238,0.325,
West,0.231,0.825,0.228,0.364,
West,0.333,0.766,0.278,0.312,0.157
West,0.305,0.797,0.28,0.332,0.157
West,0.279,0.525,0.242,0.283,0.147
West,0.28,0.515,0.237,0.225,0.147
West,0.315,0.723,0.267,0.316,0.207
West,0.337,0.869,0.265,0.383,0.207
West,0.224,0.362,0.256,0.154,0.205
West,0.199,0.508,0.241,0.205,0.205
West,0.273,0.973,0.213,0.287,0.154
West,0.274,0.972,0.213,0.28,0.154
West,0.354,0.628,0.297,0.331,0.15
West,0.322,0.78,0.276,0.308,0.15
West,0.103,0.99,0.154,0.324,0.22
West,0.103,0.971,0.158,0.317,0.22
West,0.251,0.483,0.238,0.29,0.18
West,0.255,0.55,0.241,0.241,0.18
West,0.314,0.553,0.248,0.333,0.241
West,0.289,0.752,0.242,0.27,0.241
West,0.356,0.569,0.313,0.348,0.142
West,0.341,0.68,0.311,0.347,0.142
West,0.313,0.435,0.251,0.143,
West,0.334,0.567,0.241,0.231,
West,0.17,0.892,0.208,0.133,0.259
West,0.187,0.889,0.216,0.077,0.259
West,0.271,0.835,0.228,0.376,0.154
West,0.244,0.875,0.22,0.276,0.154
West,0.14,0.881,0.236,0.39,0.237
West,0.137,0.936,0.241,0.357,0.237
West,0.176,0.653,0.185,0.333,0.171
West,0.178,0.775,0.178,0.377,0.171
West,0.18,0.989,0.204,0.317,0.172
West,0.188,0.983,0.207,0.313,0.172
West,0.116,0.77,0.228,0.341,0.164
West,0.095,0.909,0.225,0.333,0.164
West,0.235,0.818,0.23,0.29,0.183
West,0.249,0.948,0.248,0.333,0.183
West,0.248,0.823,0.27,0.36,0.175
West,0.242,0.909,0.259,0.351,0.175
West,0.268,0.946,0.277,0.308,0.18
West,0.259,0.971,0.269,0.303,0.18
West,0.181,0.684,0.243,0.31,0.238
West,0.186,0.934,0.233,0.313,0.238
West,0.282,0.812,0.282,0.321,0.173
West,0.267,0.898,0.277,0.313,0.173
West,0.199,0.95,0.231,0.33,0.172
West,0.194,0.964,0.226,0.313,0.172
West,0.163,1.0,0.16,0.268,0.206
West,0.144,0.997,0.152,0.253,0.206
West,0.245,0.79,0.31,0.346,0.175
West,0.264,0.849,0.304,0.377,0.175
West,0.167,0.866,0.2,0.411,0.175
West,0.161,0.908,0.204,0.369,0.175
West,0.111,0.991,0.2,0.22,0.206
West,0.1,0.997,0.208,0.264,0.206
West,0.212,0.918,0.192,0.367,0.18
West,0.209,0.953,0.194,0.289,0.18
West,0.126,0.972,0.21,0.285,0.149
West,0.129,0.981,0.204,0.282,0.149
West,0.179,0.94,0.201,0.302,0.205
West,0.189,0.979,0.215,0.271,0.205
West,0.259,0.741,0.28,0.362,0.196
West,0.283,0.785,0.273,0.385,0.196
West,0.195,0.711,0.234,0.357,
West,0.204,0.738,0.233,0.308,
West,0.322,0.556,0.233,0.373,0.195
West,0.28,0.713,0.217,0.315,0.195
West,0.187,0.937,0.271,0.305,0.183
West,0.178,0.965,0.265,0.317,0.183
West,0.152,0.903,0.225,0.315,0.217
West,0.16,0.944,0.224,0.306,0.217
West,0.273,0.873,0.308,0.274,0.17
West,0.305,0.921,0.321,0.272,0.17
West,0.241,0.602,0.259,0.288,0.108
West,0.254,0.672,0.276,0.245,0.108
West,0.32,0.359,0.26,0.328,0.177
West,0.287,0.643,0.271,0.31,0.177
West,0.341,0.827,0.251,0.448,
West,0.346,0.893,0.25,0.481,
West,0.405,0.7,0.295,0.379,0.192
West,0.398,0.668,0.283,0.385,0.192
West,0.208,0.431,0.227,0.438,0.265
West,0.216,0.824,0.227,0.357,0.265
West,0.177,0.948,0.219,0.389,0.177
West,0.18,0.973,0.213,0.331,0.177
West,0.176,0.839,0.229,0.411,0.19
West,0.179,0.919,0.211,0.402,0.19
West,0.306,0.32,0.305,0.441,0.194
West,0.28,0.781,0.276,0.397,0.194
West,0.217,0.895,0.25,0.37,0.189
West,0.175,0.949,0.249,0.329,0.189
West,0.326,0.295,0.205,0.263,0.14
West,0.353,0.625,0.213,0.222,0.14
West,0.157,0.981,0.207,0.385,0.175
West,0.166,0.987,0.212,0.376,0.175
West,0.261,0.714,0.17,0.3,0.165
West,0.261,0.915,0.166,0.444,0.165
West,0.29,0.86,0.218,0.19,
West,0.293,0.855,0.206,0.222,
West,0.356,0.553,0.24,0.0,
West,0.37,0.559,0.243,0.25,
West,0.13,0.953,0.149,0.352,0.155
West,0.128,0.987,0.15,0.362,0.155
West,0.08,0.945,0.202,0.0,0.157
West,0.07,0.992,0.202,0.091,0.157
West,0.213,0.927,0.162,0.316,0.117
West,0.193,0.986,0.18,0.235,0.117
West,0.186,0.426,0.233,0.125,
West,0.203,0.426,0.253,0.167,
West,0.144,0.875,0.166,0.333,0.23
West,0.135,0.859,0.173,0.235,0.23
West,0.345,0.221,0.177,0.875,0.134
West,0.304,0.221,0.192,0.778,0.134
West,0.389,0.373,0.205,0.615,
West,0.378,0.23,0.215,0.5,
West,0.422,0.027,0.243,0.0,
West,0.385,0.572,0.241,0.0,
West,0.296,0.675,0.212,0.455,0.185
West,0.297,0.939,0.205,0.333,0.185
West,0.235,0.487,0.215,0.355,0.161
West,0.215,0.768,0.221,0.353,0.161
West,0.291,0.986,0.182,0.361,0.22
West,0.287,0.997,0.17,0.389,0.22
West,0.147,0.302,0.208,0.333,0.189
West,0.183,0.38,0.2,0.2,0.189
West,0.043,0.806,0.162,0.329,0.176
West,0.038,0.987,0.163,0.344,0.176
West,0.143,0.793,0.132,0.214,0.232
West,0.136,0.979,0.12,0.208,0.232
West,0.182,0.872,0.214,0.384,0.149
West,0.138,0.936,0.218,0.397,0.149
West,0.092,0.455,0.202,0.318,0.165
West,0.091,0.647,0.201,0.286,0.165
West,0.264,0.402,0.224,0.303,0.134
West,0.312,0.694,0.221,0.371,0.134
West,0.163,0.475,0.174,0.518,0.183
West,0.164,0.874,0.198,0.5,0.183
West,0.121,0.884,0.197,0.0,0.186
West,0.103,0.847,0.193,0.0,0.186
West,0.152,0.472,0.18,0.231,0.22
West,0.164,0.739,0.187,0.4,0.22
West,0.189,0.781,0.159,0.176,0.265
West,0.181,0.955,0.16,0.2,0.265
West,0.407,0.712,0.209,0.2,0.157
West,0.402,0.824,0.197,0.294,0.157
West,0.127,0.982,0.196,0.38,0.19
West,0.126,0.995,0.198,0.371,0.19
West,0.202,0.013,0.239,0.0,
West,0.18,0.56,0.272,0.217,0.155
West,0.195,0.741,0.261,0.24,0.155
West,0.152,0.69,0.167,0.345,0.213
West,0.146,0.826,0.172,0.322,0.213
West,0.266,0.877,0.192,0.667,0.17
West,0.268,0.98,0.193,0.667,0.17
West,0.134,0.853,0.193,0.342,0.164
West,0.127,0.937,0.199,0.374,0.164
West,0.278,0.532,0.243,0.12,0.156
West,0.253,0.799,0.231,0.071,0.156
West,0.235,0.051,0.231,0.154,0.091
West,0.245,0.051,0.243,0.138,0.091
West,0.211,0.815,0.237,0.4,0.182
West,0.19,0.827,0.239,0.25,0.182
West,0.201,0.656,0.223,0.39,0.182
West,0.193,0.826,0.232,0.427,0.182
West,0.17,0.757,0.241,0.389,0.259
West,0.164,0.653,0.272,0.333,0.259
West,0.315,0.672,0.218,0.136,0.166
West,0.302,0.722,0.208,0.107,0.166
West,0.25,0.398,0.201,0.292,0.139
West,0.233,0.752,0.219,0.5,0.139
West,0.2,0.572,0.288,0.385,0.148
West,0.204,0.681,0.298,0.357,0.148
West,0.345,0.495,0.255,0.211,0.156
West,0.351,0.724,0.274,0.211,0.156
West,0.188,0.88,0.175,0.0,
West,0.166,0.896,0.185,0.0,
West,0.178,0.624,0.184,0.217,0.208
West,0.159,0.782,0.203,0.25,0.208
West,0.182,0.588,0.226,0.333,0.174
West,0.173,0.715,0.22,0.333,0.174
West,0.093,0.644,0.142,0.4,0.263
West,0.089,0.948,0.133,0.4,0.263
West,0.318,0.577,0.255,0.25,0.114
West,0.31,0.514,0.263,0.143,0.114
West,0.297,0.806,0.266,0.373,0.144
West,0.274,0.73,0.265,0.387,0.144
West,0.129,0.279,0.211,0.615,0.179
West,0.117,0.784,0.222,0.857,0.179
West,0.323,0.723,0.227,0.25,0.086
West,0.289,0.798,0.235,0.077,0.086
West,0.111,0.678,0.134,0.533,0.265
West,0.121,0.816,0.147,0.444,0.265
West,0.471,0.477,0.23,0.364,
West,0.43,0.486,0.222,0.4,
West,0.171,0.844,0.169,0.125,0.274
West,0.18,0.824,0.164,0.167,0.274
West,0.22,0.541,0.241,0.333,
West,0.229,0.527,0.242,0.167,
West,0.127,1.0,0.145,0.28,0.329
West,0.131,1.0,0.132,0.261,0.329
West,0.159,0.853,0.178,0.25,0.113
West,0.151,0.815,0.167,0.364,0.113
West,0.214,0.121,0.232,0.0,
West,0.199,0.429,0.24,0.067,
West,0.187,0.76,0.256,0.42,0.172
West,0.166,0.804,0.253,0.389,0.172
West,0.199,0.423,0.251,0.417,
West,0.189,0.685,0.242,0.182,
Northeast,0.111,0.943,0.186,0.376,0.206
Northeast,0.119,0.964,0.196,0.352,0.206
Northeast,0.167,0.946,0.246,0.356,0.177
Northeast,0.174,0.957,0.261,0.351,0.177
Northeast,0.086,0.814,0.219,0.293,0.187
Northeast,0.092,0.919,0.235,0.295,0.187
Northeast,0.075,0.838,0.239,0.375,0.191
Northeast,0.076,0.945,0.235,0.392,0.191
Northeast,0.204,0.92,0.274,0.302,0.189
Northeast,0.177,0.96,0.269,0.315,0.189
Northeast,0.133,0.861,0.25,0.455,0.19
Northeast,0.134,0.916,0.263,0.371,0.19
Northeast,0.072,0.841,0.234,0.324,0.189
Northeast,0.07,0.88,0.24,0.361,0.189
Northeast,0.161,0.831,0.3,0.337,0.168
Northeast,0.18,0.873,0.303,0.308,0.168
